,title,price,bedrooms,link,area,furnished,log_price,log_bedrooms,link,latitude,longitude,address,rent_period,pets_cat,pets_dog,laundry,parking,no_smoking,air_conditioning
0,"public parks nearby, conference room, dishwasher",1992,,https://washingtondc.craigslist.org/nva/apa/d/alexandria-public-parks-nearby/7821042047.html,missing,missing,7.596894438144544,,https://washingtondc.craigslist.org/nva/apa/d/alexandria-public-parks-nearby/7821042047.html,38.792582,-77.138365,5901 Coverdale Way,monthly,cats are OK - purrr,dogs are OK - wooof,monthly,monthly,missing,air conditioning
1,"vinyl flooring, pet friendly, granite countertops",2126,,https://washingtondc.craigslist.org/nva/apa/d/alexandria-vinyl-flooring-pet-friendly/7823742641.html,missing,missing,7.661997558901893,,https://washingtondc.craigslist.org/nva/apa/d/alexandria-vinyl-flooring-pet-friendly/7823742641.html,38.818213,-77.147651,4905 Southland Ave,monthly,cats are OK - purrr,dogs are OK - wooof,monthly,monthly,no smoking,air conditioning
2,"all-electric kitchen, washer and dryer in home, 1/bd 1/ba",2115,1.0,https://washingtondc.craigslist.org/nva/apa/d/ashburn-all-electric-kitchen-washer-and/7824260893.html,missing,missing,7.656810091480378,0.0,https://washingtondc.craigslist.org/nva/apa/d/ashburn-all-electric-kitchen-washer-and/7824260893.html,39.053857,-77.436805,20300 River Ridge Terrace,monthly,cats are OK - purrr,dogs are OK - wooof,monthly,monthly,missing,air conditioning
3,"studio/1b, stainless steel appliances, located in alexandria",1550,1.0,https://washingtondc.craigslist.org/nva/apa/d/alexandria-studio-1b-stainless-steel/7824931366.html,alexandria,missing,7.346010209913293,0.0,https://washingtondc.craigslist.org/nva/apa/d/alexandria-studio-1b-stainless-steel/7824931366.html,38.7912,-77.0814,6034 Richmond Highway,monthly,cats are OK - purrr,dogs are OK - wooof,monthly,monthly,no smoking,air conditioning
4,"2/bd 1/ba, refrigerator, high-speed internet access",1836,2.0,https://washingtondc.craigslist.org/nva/apa/d/alexandria-bd-ba-refrigerator-high/7820435045.html,missing,missing,7.515344571180436,0.6931471805599453,https://washingtondc.craigslist.org/nva/apa/d/alexandria-bd-ba-refrigerator-high/7820435045.html,38.8149,-77.121,4820 Kenmore Avenue,monthly,cats are OK - purrr,dogs are OK - wooof,monthly,monthly,missing,air conditioning
5,townhouse for rent,3500,,https://washingtondc.craigslist.org/nva/apa/d/sterling-townhouse-for-rent/7825422079.html,missing,missing,8.160518247477505,,https://washingtondc.craigslist.org/nva/apa/d/sterling-townhouse-for-rent/7825422079.html,38.9814,-77.4723,missing,monthly,missing,missing,monthly,monthly,no smoking,air conditioning
6,"onsite dog park, java bar, 1 bd",2458,1.0,https://washingtondc.craigslist.org/nva/apa/d/fairfax-onsite-dog-park-java-bar-bd/7824176326.html,missing,missing,7.80710329012598,0.0,https://washingtondc.craigslist.org/nva/apa/d/fairfax-onsite-dog-park-java-bar-bd/7824176326.html,38.861296,-77.370449,12201 Pender Creek Cir,monthly,cats are OK - purrr,dogs are OK - wooof,monthly,monthly,no smoking,air conditioning
7,"1/bd 1/ba, on-site maintenance, bilingual staff",1699,1.0,https://washingtondc.craigslist.org/nva/apa/d/woodbridge-bd-ba-on-site-maintenance/7820366711.html,missing,missing,7.4377951216719325,0.0,https://washingtondc.craigslist.org/nva/apa/d/woodbridge-bd-ba-on-site-maintenance/7820366711.html,38.651312,-77.276478,13940 Longwood Manor Ct,monthly,cats are OK - purrr,dogs are OK - wooof,monthly,monthly,no smoking,air conditioning
8,"ample parking, in falls church, 3/bd 2/ba",2764,3.0,https://washingtondc.craigslist.org/nva/apa/d/falls-church-ample-parking-in-falls/7821603729.html,missing,missing,7.92443418488756,1.0986122886681098,https://washingtondc.craigslist.org/nva/apa/d/falls-church-ample-parking-in-falls/7821603729.html,38.905322,-77.204957,2042 Peach Orchard Dr.,monthly,missing,missing,monthly,monthly,missing,missing
9,"2bd 2ba, public parks nearby, cable ready",2225,2.0,https://washingtondc.craigslist.org/nva/apa/d/ashburn-2bd-2ba-public-parks-nearby/7824278620.html,missing,missing,7.707512194600341,0.6931471805599453,https://washingtondc.craigslist.org/nva/apa/d/ashburn-2bd-2ba-public-parks-nearby/7824278620.html,39.053857,-77.436805,20300 River Ridge Terrace,monthly,cats are OK - purrr,dogs are OK - wooof,monthly,monthly,missing,air conditioning
10,"right on public transit, for easy commuting! arlington courthouse apar",2100,,https://washingtondc.craigslist.org/nva/apa/d/arlington-right-on-public-transit-for/7820903449.html,arlington,missing,7.649692623711514,,,,,,,,,,,,
11,"dream bigger, live better: move in today!",1579,,https://washingtondc.craigslist.org/nva/apa/d/sterling-dream-bigger-live-better-move/7824874143.html,missing,missing,7.364547014255642,,,,,,,,,,,,
12,"1 bedroom, guest parking, linen closet",2157,1.0,https://washingtondc.craigslist.org/nva/apa/d/alexandria-bedroom-guest-parking-linen/7822669773.html,missing,missing,7.676473646389156,0.0,,,,,,,,,,,
